The Elvis Tribute Artist World Tour,Congress Theatre,@eastbourne_theatres,2023-05-11T00:00:00+00:00,2023-05-12 19:30:00 +0100,
Guns 2 Roses,Bandstand,@bandstandeb,2023-05-12T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Will Taylor,Belgian Cafe,@thebelgiancafeeastbourne,2023-05-12T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Mike and the Mechanics Refueled!,Congress Theatre,"",2023-05-12T00:00:00+00:00,2023-05-12 19:30:00 +0100,
Willowisp,Crown & Anchor,@crownanchoreastbourne,2023-05-12T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Rockin Robbins,The Emerald Bar,"",2023-05-12T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Grand Benali,"The Lamb Inn, Old Town",@lamb1790,2023-05-12T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Marky Dawson (PPH Piano Bar),Printers Playhouse,"",2023-05-12T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Voices of Swing: Down For The Count Orchestra play The Great American Songbook,Royal Hippodrome,@royalhippodrome,2023-05-12T00:00:00+00:00,2023-05-12 19:30:00 +0100,
Ragati String Band,Alexandra Arms,@thealexandraarmseastbourne1,2023-05-13T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Rolling Stones Tribute,Bandstand,"",2023-05-13T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Mel Hayes,Belgian Cafe,"",2023-05-13T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
The Kavemen,Crown & Anchor,"",2023-05-13T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Watson Brothers (1-4pm) The Waves (5.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-05-13T00:00:00+00:00,,
The Jam Busters,Eastbourne Working Men’s Club,"",2023-05-13T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Grace and Danger,The Emerald Bar,"",2023-05-13T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Upbeat Band,Garden Bar,@gardenbareastbourne,2023-05-13T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Kevin Jones,Langney Sports Club,"",2023-05-13T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Treading on Wires,Under Ground Theatre,@undergroundtheatre.eb,2023-05-13T00:00:00+00:00,2023-05-12 10:00:00 +0100,
